Date,HourEnding,TotalResourceMW,TotalIRRMW,TotalNewEquipResourceMW
02/18/2021,17,23366,17322,3276
02/18/2021,18,23308,16911,3276
02/18/2021,19,23308,16189,3276
02/18/2021,20,23308,16549,3276
02/18/2021,21,23308,16451,3276
02/18/2021,22,23308,16451,3276
02/18/2021,23,23308,16451,3276
02/18/2021,24,18671,15251,3276
02/19/2021,01,18260,15251,3276
02/19/2021,02,18260,15251,3276
02/19/2021,03,18260,15251,3276
02/19/2021,04,18260,15251,3276
02/19/2021,05,18260,15251,3276
02/19/2021,06,18260,15097,3276
02/19/2021,07,18260,14891,3276
02/19/2021,08,18310,14891,3276
02/19/2021,09,17877,14811,3276
02/19/2021,10,18645,14811,3276
02/19/2021,11,17835,14511,3276
02/19/2021,12,17835,14511,3276
02/19/2021,13,17652,13303,3204
02/19/2021,14,17652,13264,3204
02/19/2021,15,17586,13066,3204
02/19/2021,16,17693,12757,3204
02/19/2021,17,17693,11857,3204
02/19/2021,18,17693,10000,3204
02/19/2021,19,17617,9772,3204
02/19/2021,20,17617,9632,3204
02/19/2021,21,17617,9632,3204
02/19/2021,22,17510,9632,3204
02/19/2021,23,17510,9632,3204
02/19/2021,24,14974,8095,3078
02/20/2021,01,14983,8059,3078
02/20/2021,02,14983,8059,3078
02/20/2021,03,14983,8059,3078
02/20/2021,04,14983,8059,3078
02/20/2021,05,14983,8059,3078
02/20/2021,06,14983,7905,3078
02/20/2021,07,15073,7905,3078
02/20/2021,08,15073,7905,3078
02/20/2021,09,15073,7905,3078
02/20/2021,10,14075,7905,3078
02/20/2021,11,14075,7708,3078
02/20/2021,12,14075,7708,3078
02/20/2021,13,14372,7078,3078
02/20/2021,14,14372,6948,3078
02/20/2021,15,14339,6948,3078
02/20/2021,16,14339,6948,3078
02/20/2021,17,14309,6664,3078
02/20/2021,18,14309,6508,3078
02/20/2021,19,14309,6290,3078
02/20/2021,20,14309,6290,3078
02/20/2021,21,14309,6290,3078
02/20/2021,22,14309,6290,3078
02/20/2021,23,14309,6290,3078
02/20/2021,24,12517,6290,3078
02/21/2021,01,12517,6290,3078
02/21/2021,02,12517,6290,3078
02/21/2021,03,12517,6290,3078
02/21/2021,04,12517,6290,3078
02/21/2021,05,12517,6290,3078
02/21/2021,06,12517,6290,3078
02/21/2021,07,12517,6290,3078
02/21/2021,08,12517,6290,3078
02/21/2021,09,12517,6290,3078
02/21/2021,10,12517,6290,3078
02/21/2021,11,12328,6290,3078
02/21/2021,12,12328,6290,3078
02/21/2021,13,12040,6290,3078
02/21/2021,14,12040,6290,3078
02/21/2021,15,12040,6259,3078
02/21/2021,16,12040,6259,3078
02/21/2021,17,12040,6259,3078
02/21/2021,18,12030,6259,3078
02/21/2021,19,12030,6259,3078
02/21/2021,20,12030,6259,3078
02/21/2021,21,12030,6259,3078
02/21/2021,22,12030,6259,3078
02/21/2021,23,12030,6259,3078
02/21/2021,24,11457,6259,3078
02/22/2021,01,12536,6259,3078
02/22/2021,02,12536,6259,3078
02/22/2021,03,12536,6259,3078
02/22/2021,04,12536,6259,3078
02/22/2021,05,12536,6259,3078
02/22/2021,06,12463,6259,3078
02/22/2021,07,12503,6259,3078
02/22/2021,08,12553,6259,3078
02/22/2021,09,12553,6259,3078
02/22/2021,10,12553,6259,3078
02/22/2021,11,12472,6259,3078
02/22/2021,12,12472,6228,3078
02/22/2021,13,12832,6098,2968
02/22/2021,14,12832,6098,2968
02/22/2021,15,12832,6098,2968
02/22/2021,16,12832,6098,2968
02/22/2021,17,12454,6098,2968
02/22/2021,18,12454,6098,2968
02/22/2021,19,12454,6003,2968
02/22/2021,20,12454,6003,2968
02/22/2021,21,12454,6003,2968
02/22/2021,22,12454,6003,2968
02/22/2021,23,11845,6003,2968
02/22/2021,24,11900,5578,2968
02/23/2021,01,12079,5578,2968
02/23/2021,02,12079,5578,2968
02/23/2021,03,12079,5578,2968
02/23/2021,04,12079,5578,2968
02/23/2021,05,11898,5578,2968
02/23/2021,06,11898,5578,2968
02/23/2021,07,11898,5578,2968
02/23/2021,08,11880,5578,2968
02/23/2021,09,11880,5578,2968
02/23/2021,10,11880,5578,2968
02/23/2021,11,11878,5578,2968
02/23/2021,12,11878,5578,2968
02/23/2021,13,11701,5578,2968
02/23/2021,14,11701,5578,2968
02/23/2021,15,11701,5578,2968
02/23/2021,16,11701,5578,2968
02/23/2021,17,11701,5578,2968
02/23/2021,18,11701,5578,2968
02/23/2021,19,11143,5578,2968
02/23/2021,20,11143,5578,2968
02/23/2021,21,11143,5578,2968
02/23/2021,22,11143,5578,2968
02/23/2021,23,11143,5578,2968
02/23/2021,24,10888,5472,2968
02/24/2021,01,10953,5472,2968
02/24/2021,02,10953,5472,2968
02/24/2021,03,10953,5472,2968
02/24/2021,04,10953,5472,2968
02/24/2021,05,10953,5472,2968
02/24/2021,06,10953,5472,2968
02/24/2021,07,10953,5311,2968
02/24/2021,08,10953,5223,2968
02/24/2021,09,10953,5223,2968
02/24/2021,10,10953,5223,2968
02/24/2021,11,10953,5223,2919
02/24/2021,12,10953,5223,2919
02/24/2021,13,10953,5223,2919
02/24/2021,14,10953,5223,2919
02/24/2021,15,10953,5223,2919
02/24/2021,16,10953,5223,2919
02/24/2021,17,10953,4016,2919
02/24/2021,18,10953,4016,2919
02/24/2021,19,10953,4016,2919
02/24/2021,20,10953,4016,2919
02/24/2021,21,10953,4016,2919
02/24/2021,22,10953,4016,2919
02/24/2021,23,10593,4016,2919
02/24/2021,24,10329,3697,2919
02/25/2021,01,10749,3697,2919
02/25/2021,02,10749,3697,2919
02/25/2021,03,10749,3697,2919
02/25/2021,04,10749,3697,2919
02/25/2021,05,10749,3697,2919
02/25/2021,06,10749,3697,2919
02/25/2021,07,10465,3697,2919
02/25/2021,08,10465,3697,2919
02/25/2021,09,10465,3697,2919
02/25/2021,10,10465,3697,2919
02/25/2021,11,10465,3697,2919
02/25/2021,12,10465,3697,2919
02/25/2021,13,10465,3697,2919
02/25/2021,14,10387,3697,2919
02/25/2021,15,10387,3697,2919
02/25/2021,16,10387,3697,2919
