Date,HourEnding,TotalResourceMW,TotalIRRMW,TotalNewEquipResourceMW
02/24/2021,08,10547,4186,2722
02/24/2021,09,10547,4186,2722
02/24/2021,10,10547,4186,2722
02/24/2021,11,10547,4186,2673
02/24/2021,12,10547,4186,2673
02/24/2021,13,10547,4186,2673
02/24/2021,14,10547,4186,2673
02/24/2021,15,10547,4186,2673
02/24/2021,16,10547,4186,2673
02/24/2021,17,10547,2911,2673
02/24/2021,18,10547,2911,2673
02/24/2021,19,10547,2911,2673
02/24/2021,20,10547,2911,2673
02/24/2021,21,10547,2911,2673
02/24/2021,22,10547,2911,2673
